序号,次密接者ID,次密接日期,次密接场所ID,密接者ID
1,82230,2022-11-19 14:53:33,520,64306
2,23142,2022-11-19 14:36:33,520,64306
3,82616,2022-11-19 14:44:33,520,64306
4,42284,2022-11-19 14:22:33,520,64306
5,85930,2022-11-19 14:45:33,520,64306
6,96307,2022-11-19 14:53:33,520,64306
7,20764,2022-11-17 16:03:18,2772,3504
8,77763,2022-11-17 15:34:18,2772,3504
9,49935,2022-11-17 15:31:18,2772,3504
10,33944,2022-11-17 15:13:18,2772,3504
11,62254,2022-11-17 15:48:18,2772,3504
12,85971,2022-11-17 15:46:18,2772,3504
13,68932,2022-11-19 18:50:19,99,63557
14,30380,2022-11-19 19:02:19,99,63557
15,58045,2022-11-19 19:47:19,99,63557
16,2590,2022-11-19 19:31:19,99,63557
17,46445,2022-11-19 19:01:19,99,63557
18,6986,2022-11-19 19:39:19,99,63557
19,96676,2022-11-19 19:41:19,99,63557
20,55172,2022-11-17 15:31:23,1914,61825
21,8414,2022-11-17 15:57:23,1914,61825
22,22345,2022-11-17 15:57:23,1914,61825
23,74857,2022-11-17 15:49:23,1914,61825
24,32921,2022-11-17 15:34:23,1914,61825
25,23002,2022-11-17 15:59:23,1914,61825
26,44010,2022-11-17 15:33:23,1914,61825
27,18922,2022-11-17 12:39:28,1056,59504
28,53601,2022-11-17 11:57:28,1056,59504
29,76137,2022-11-17 12:30:28,1056,59504
30,30764,2022-11-17 12:21:28,1056,59504
31,52154,2022-11-17 12:19:28,1056,59504
32,99510,2022-11-17 12:35:28,1056,59504
33,33019,2022-11-17 12:18:28,1056,59504
34,68561,2022-11-17 12:34:28,1056,59504
35,33446,2022-11-18 14:40:04,1491,67409
36,38090,2022-11-18 14:11:04,1491,67409
37,30040,2022-11-18 14:50:04,1491,67409
38,77619,2022-11-18 14:37:04,1491,67409
39,84558,2022-11-18 14:10:04,1491,67409
40,27309,2022-11-18 14:11:04,1491,67409
41,26670,2022-11-18 14:12:04,1491,67409
42,68048,2022-11-18 14:31:04,1491,67409
43,40066,2022-11-18 14:56:04,1491,67409
44,93351,2022-11-18 11:41:25,1142,53342
45,58366,2022-11-18 11:40:25,1142,53342
46,74692,2022-11-18 11:25:25,1142,53342
47,48359,2022-11-18 11:30:25,1142,53342
48,5988,2022-11-18 11:25:25,1142,53342
49,82708,2022-11-18 12:04:25,1142,53342
50,68673,2022-11-18 11:42:25,1142,53342
51,12161,2022-11-18 12:17:25,1142,53342
52,36495,2022-11-17 18:46:57,526,75403
53,14056,2022-11-17 18:35:57,526,75403
54,96171,2022-11-17 18:20:57,526,75403
55,48725,2022-11-17 19:11:57,526,75403
56,9991,2022-11-17 18:55:57,526,75403
57,74417,2022-11-17 19:11:57,526,75403
58,35889,2022-11-17 16:29:39,1802,61126
59,8042,2022-11-17 17:17:39,1802,61126
60,91170,2022-11-17 16:45:39,1802,61126
61,41520,2022-11-17 17:15:39,1802,61126
62,21617,2022-11-17 16:48:39,1802,61126
63,32987,2022-11-17 17:15:39,1802,61126
64,4942,2022-11-17 16:41:39,1802,61126
65,40480,2022-11-18 09:28:25,83,68559
66,22423,2022-11-18 09:15:25,83,68559
67,37292,2022-11-18 09:19:25,83,68559
68,74772,2022-11-18 09:13:25,83,68559
69,51156,2022-11-18 09:43:25,83,68559
70,88666,2022-11-18 09:34:25,83,68559
71,10217,2022-11-18 09:55:25,83,68559
72,18297,2022-11-19 17:49:57,1762,16007
73,87965,2022-11-19 18:18:57,1762,16007
74,76813,2022-11-19 18:22:57,1762,16007
75,84860,2022-11-19 17:48:57,1762,16007
76,39434,2022-11-19 17:58:57,1762,16007
77,93889,2022-11-19 17:32:57,1762,16007
78,98128,2022-11-19 17:44:57,1762,16007
79,80562,2022-11-07 13:30:02,1877,63407
80,70966,2022-11-07 12:45:02,1877,63407
81,92301,2022-11-07 13:12:02,1877,63407
82,68050,2022-11-07 13:02:02,1877,63407
83,47747,2022-11-07 12:48:02,1877,63407
84,82164,2022-11-07 13:26:02,1877,63407
85,22468,2022-11-07 13:12:02,1877,63407
86,20338,2022-11-08 10:28:28,732,839
87,31267,2022-11-08 10:47:28,732,839
88,75120,2022-11-08 10:26:28,732,839
89,32578,2022-11-08 10:23:28,732,839
90,51963,2022-11-08 10:36:28,732,839
91,19355,2022-11-08 10:54:28,732,839
92,90356,2022-11-08 10:54:28,732,839
93,12029,2022-11-08 10:08:28,732,839
94,49475,2022-11-08 10:32:28,732,839
95,40201,2022-11-08 16:09:12,1181,17014
96,67996,2022-11-08 16:02:12,1181,17014
97,46884,2022-11-08 15:44:12,1181,17014
98,52117,2022-11-08 16:27:12,1181,17014
99,79482,2022-11-08 16:33:12,1181,17014
100,28105,2022-11-08 16:13:12,1181,17014
101,36779,2022-11-08 16:17:12,1181,17014
102,81970,2022-11-08 15:44:12,1181,17014
103,9564,2022-11-08 22:39:56,1873,28740
104,30370,2022-11-08 22:03:56,1873,28740
105,7603,2022-11-08 22:51:56,1873,28740
106,90927,2022-11-08 22:12:56,1873,28740
107,45105,2022-11-08 22:35:56,1873,28740
108,83479,2022-11-08 22:10:56,1873,28740
109,43773,2022-11-08 21:56:56,1873,28740
110,86484,2022-11-08 22:09:56,1873,28740
111,58173,2022-11-07 13:08:56,34,40662
112,37378,2022-11-07 13:23:56,34,40662
113,43525,2022-11-07 13:09:56,34,40662
114,12835,2022-11-07 13:15:56,34,40662
115,73417,2022-11-07 13:30:56,34,40662
