grid_point_id,name,point_type,x_coordinate,y_coordinate,create_time
1,宾馆旅店1,住宿,8809.65,11459.84,2020/4/6 8:07
2,餐厅（馆）1,餐饮,8483.02,13670.91,2021/9/1 14:49
3,酒店1,住宿,10263.75,11002.58,2022/1/13 23:20
4,招待所1,住宿,15608.83,10148.81,2020/7/6 5:12
5,咖啡馆1,餐饮,10705.21,11646.58,2020/12/11 4:49
6,酒吧1,餐饮,11831.61,15669.93,2020/11/6 5:42
7,茶座1,餐饮,11630.86,14380.9,2022/1/7 0:30
8,公共浴室1,洗浴,15105.89,9681.59,2021/11/8 11:34
9,理发店1,生活,10077.97,10726.65,2022/7/21 6:22
10,美容店1,生活,14837.72,11725.85,2022/5/23 8:58
11,影剧院1,娱乐,14379.12,13290.91,2020/10/1 5:54
12,游艺厅1,娱乐,13283.66,9810.32,2020/5/1 7:05
13,KTV1,娱乐,8765.14,10070.12,2022/1/2 18:05
14,音乐厅1,娱乐,10847.37,9927.08,2022/1/1 6:29
15,网吧1,娱乐,12274.67,13684.74,2020/5/1 6:17
16,桌游室1,娱乐,8400.99,12170.39,2020/9/30 4:45
17,棋牌室1,娱乐,12715.97,12014.52,2021/10/20 2:24
18,体育场馆1,运动,12145.86,14341.26,2020/4/2 5:49
19,游泳场馆1,运动,14864.68,11791.23,2020/12/1 23:21
20,健身场馆1,运动,12264.88,15564.44,2022/9/6 15:05
21,公园1,旅游,12168.17,10143.2,2021/9/30 14:24
22,旅游景点1,旅游,14606.07,10780.9,2021/7/22 18:46
23,图书馆1,文化,11115.03,16373.46,2022/3/22 7:12
24,博物馆1,文化,11074.45,9766.51,2020/6/18 1:53
25,美术馆1,文化,11265.56,11940.85,2022/2/22 17:43
26,展览馆1,文化,12796.95,10414.81,2021/8/25 22:11
27,文化馆1,文化,8976.63,15750.94,2020/12/1 13:42
28,社区活动中心1,娱乐,11362.49,12909.65,2020/5/10 5:01
29,商业综合体1,其他,13391.86,16401.1,2021/2/24 0:19
30,农集贸市场1,购物,12576.83,8600.61,2021/10/27 17:35
31,超市1,购物,16405.48,15911.46,2020/4/10 17:23
32,建筑工地1,工作,12109.4,9831.91,2021/12/12 14:28
33,工厂1,工作,15195.76,15861.32,2020/1/15 20:12
34,烟酒店1,购物,12646.74,9712.91,2022/2/9 14:08
35,水果店1,购物,8661.47,15237.57,2021/5/14 16:40
36,杂货铺1,购物,13054.62,15505.64,2022/2/13 1:30
37,书店1,文化,13382.17,9839.63,2020/9/29 9:38
38,药店1,医疗,16188.67,16092.61,2022/9/28 23:32
39,码头1,交通,16360.84,9572.75,2022/9/22 12:13
40,交通查验点1,交通,14380.47,14975.35,2021/5/8 21:35
41,出租车1,交通,12044.66,10498.9,2020/5/28 6:54
42,公交车1,交通,11463.84,9641.93,2021/11/9 22:31
43,地铁站1,交通,12357.38,15402.18,2022/2/20 18:08
44,公交站1,交通,11843.53,12078.84,2021/5/10 15:27
45,旅游船1,旅游,10164.16,11213.05,2022/5/12 12:04
46,加油站1,交通,15095.85,11640.46,2022/2/19 4:44
47,企事业单位1,办公,9027.32,9273.19,2021/5/23 17:24
48,行政办事大厅1,办公,15878.44,11726.74,2020/11/10 12:07
49,居民小区1,住宅,14098.83,11960.41,2021/8/9 7:48
50,医疗机构1,医疗,10963.87,12957.0,2020/7/20 20:50
51,写字楼1,办公,11432.97,15730.33,2020/9/21 22:36
52,学校1,教育,9099.13,13165.56,2020/4/15 19:14
53,医院1,医疗,13940.15,15969.27,2021/9/28 16:54
54,银行1,银行,8830.74,15082.37,2022/2/19 10:36
55,教育培训机构1,教育,9740.04,13690.13,2022/4/19 11:29
56,邮政1,邮政,9272.57,10148.98,2022/9/20 20:30
57,其他场所1,其他,9310.25,9840.57,2020/2/19 21:58
58,固定核酸采样点1,医疗,14881.05,14908.15,2021/6/26 4:37
59,临时核酸采样点1,医疗,14963.66,15780.46,2020/8/27 20:22
60,宾馆旅店2,住宿,13639.95,10242.64,2020/4/29 23:33
61,餐厅（馆）2,餐饮,15325.43,12722.72,2020/12/16 1:44
